iter	Passed	Remaining
0	2	225
1	4	236
2	7	246
3	9	236
4	12	230
5	14	223
6	16	214
7	18	208
8	20	206
9	22	201
10	24	194
11	25	190
12	28	188
13	29	182
14	30	175
15	32	169
16	33	163
17	34	155
18	35	149
19	35	143
20	36	138
21	37	133
22	38	128
23	39	123
24	39	119
25	40	114
26	41	110
27	41	107
28	42	103
29	42	100
30	43	96
31	43	93
32	44	90
33	45	87
34	45	84
35	46	81
36	46	79
37	47	76
38	47	74
39	47	71
40	48	69
41	48	67
42	49	65
43	49	63
44	50	61
45	50	59
46	51	57
47	51	55
48	51	53
49	52	52
50	52	50
51	53	48
52	53	47
53	53	45
54	54	44
55	54	42
56	54	41
57	55	40
58	55	38
59	56	37
60	56	36
61	56	34
62	57	33
63	57	32
64	57	31
65	58	29
66	58	28
67	58	27
68	59	26
69	59	25
70	59	24
71	60	23
72	60	22
73	60	21
74	61	20
75	61	19
76	61	18
77	62	17
78	62	16
79	62	15
80	63	14
81	63	13
82	64	13
83	64	12
84	64	11
85	65	10
86	65	9
87	65	8
88	66	8
89	66	7
90	66	6
91	67	5
92	67	5
93	67	4
94	68	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
